origin_id,state,Country
230,Copan,Honduras
231,Madriz,Nicaragua
232,Matagalpa,Nicaragua
233,Copan,Honduras
234,Ocotepeque,Honduras
235,Ocotepeque,Honduras
236,Ocotepeque,Honduras
237,Chinautla,Guatemala
238,Copan,Honduras
239,Copan,Honduras
240,Copan,Honduras
241,Madriz,Nicaragua
242,Ciudad de Guatemala,Guatemala
243,Matagalpa,Nicaragua
244,Matagalpa,Nicaragua
245,Matagalpa,Nicaragua
246,Connecticut,United States of America (the)
247,Ohio,United States of America (the)
248,Hawaii,United States of America (the)
249,La Paz,Honduras
250,Jalisco,Mexico
251,California,United States of America (the)
252,Utah,United States of America (the)
253,Copan,Honduras
254,New York,United States of America (the)
255,Maine,United States of America (the)
256,Texas,United States of America (the)
257,Maine,United States of America (the)
258,Leon,Nicaragua
259,Leon,Nicaragua
260,Matagalpa,Nicaragua
261,New York,United States of America (the)
262,California,United States of America (the)
263,Yoro,Honduras
264,Chiang Mai,Thailand
265,Montana,United States of America (the)
266,New Jersey,United States of America (the)
267,Virginia,United States of America (the)
268,California,United States of America (the)
269,California,United States of America (the)
270,California,United States of America (the)
271,Cortes,Honduras
272,Cortes,Honduras
273,Cortes,Honduras
274,Tennessee,United States of America (the)
275,--,Thailand
276,MICHOACAN,Thailand
277,New Jersey,United States of America (the)
278,Minnesota,United States of America (the)
279,Bahia,Brazil
280,MG,Brazil
281,Rhode Island,United States of America (the)
282,Sao Paulo,Brazil
283,Florida,United States of America (the)
284,Lima,Peru
285,Missouri,United States of America (the)
286,Hawaii,United States of America (the)
287,Massachusetts,United States of America (the)
288,Santa Rosa,Guatemala
289,Iowa,United States of America (the)
290,Florida,United States of America (the)
291,Pennsylvania,United States of America (the)
292,Missouri,United States of America (the)
293,Missouri,United States of America (the)
294,Colorado,United States of America (the)
295,Colorado,United States of America (the)
296,MAGDALENA,Colombia
297,Cusco,Peru
298,MAGDALENA,Colombia
299,León,Nicaragua
300,California,United States of America (the)
301,Amazonas,Peru
302,Wisconsin,United States of America (the)
303,CHIAPAS,Mexico
304,Cortes,Honduras
305,Cortes,Honduras
306,Cortes,Honduras
307,MG,Brazil
308,"Dili,",Timor-Leste
309,SAN JOSE,Costa Rica
310,Heredia,Costa Rica
311,MONTERREY,Mexico
312,Risaralda,Colombia
313,Cortes,Honduras
314,Cortes,Honduras
315,Cortes,Honduras
316,Cortes,Honduras
317,La Paz,Honduras
318,La Paz,Honduras
319,Oaxaca,Mexico
320,ANTIOQUIA,Colombia
321,Rio Grande do Sul,Brazil
322,Lambayeque,Peru
323,"Motozintla, Chiapas",Mexico
324,Oaxaca,Mexico
325,CHIAPAS,Mexico
326,Minnesota,United States of America (the)
327,CHIAPAS,Mexico
328,Chiriquí,Panama
329,Virginia,United States of America (the)
330,Maine,United States of America (the)
331,Ocotepeque,Honduras
332,Ocotepeque,Honduras
333,Ocotepeque,Honduras
334,Amazonas,Peru
335,California,United States of America (the)
336,Matagalpa,Nicaragua
337,Matagalpa,Nicaragua
338,La Paz,Honduras
339,La Paz,Honduras
340,La Paz,Honduras
341,ALAJUELA,Costa Rica
342,La Paz,Honduras
343,La Paz,Honduras
344,CHIAPAS,Mexico
345,QUINDIO,Colombia
346,Ocotepeque,Honduras
347,California,United States of America (the)
348,Minas Gerais,Brazil
349,Guatemala,Guatemala
350,Minas Gerais,Brazil
351,Geneva,Switzerland
352,San Martin,Peru
353,Chiapas,Mexico
354,Copan,Honduras
355,Copan,Honduras
356,Copan,Honduras
357,Copan,Honduras
358,Copan,Honduras
359,Chiapas,Mexico
360,Copan,Honduras
361,Ocotepeque,Honduras
